"Данные","Тип","Из","В","Метки","Сумма","Валюта","Сумма в др.валюте","Др.валюта","Повторение","Заметка"
"25.06.2020","Расход","Сбербанк","Продукты","","1349","RUB","1349","RUB","Нет",""
"25.06.2020","Перевод","Сбербанк","Сбербанк Deposit","","65000","RUB","65000","RUB","Нет",""
"25.06.2020","Перевод","ALM","Сбербанк","","67500","RUB","67500","RUB","Нет",""
"26.06.2020","Расход","Сбербанк","Еда","Доставка еды","1530","RUB","1530","RUB","Нет",""
"26.06.2020","Расход","Райффайзен","Транспорт","Такси","94","RUB","94","RUB","Нет",""
"26.06.2020","Расход","Райффайзен","Транспорт","Такси","96","RUB","96","RUB","Нет",""
"27.06.2020","Расход","Райффайзен","Другое","","292,5","RUB","292,5","RUB","Нет","Journey "
"27.06.2020","Расход","Райффайзен","Транспорт","Такси","260","RUB","260","RUB","Нет",""
"27.06.2020","Расход","Райффайзен","Транспорт","Такси","286","RUB","286","RUB","Нет",""
"27.06.2020","Расход","Сбербанк","Транспорт","ЖД","824","RUB","824","RUB","Нет",""
"27.06.2020","Расход","Сбербанк","Транспорт","ЖД","428","RUB","428","RUB","Нет",""
"27.06.2020","Расход","Cash","Charity","","300","RUB","300","RUB","Нет",""
"28.06.2020","Расход","Райффайзен","Транспорт","Такси","95","RUB","95","RUB","Нет",""
"28.06.2020","Расход","Сбербанк","Развлечения","","1200","RUB","1200","RUB","Нет","Wakeboard"
"28.06.2020","Расход","Сбербанк","Продукты","","400","RUB","400","RUB","Нет","Черешня"
"28.06.2020","Расход","Сбербанк","Продукты","","242","RUB","242","RUB","Нет","Лавка пекаря"
"28.06.2020","Расход","Сбербанк","Транспорт","","50","RUB","50","RUB","Нет",""
"01.07.2020","Перевод","Сбербанк","Райффайзен","","3000","RUB","3000","RUB","Нет","Комиссия 45?"
"01.07.2020","Расход","Сбербанк","Комиссии (black hole)","","45","RUB","45","RUB","Нет",""
"01.07.2020","Расход","Сбербанк","Комиссии (black hole)","","30","RUB","30","RUB","Нет","Wakeboard (на тинькофф шпирко)"
"01.07.2020","Перевод","Фонд ремонта","Cash","","500","RUB","500","RUB","Нет","Доплата за ремонт обуви (cleanstep инста)"
"01.07.2020","Расход","Cash","Вещи","","1500","RUB","1500","RUB","Нет","Оставшиеся 1500 из 2500 за реставрацию ecco"
"01.07.2020","Расход","Райффайзен","Транспорт","Такси","97","RUB","97","RUB","Нет",""
"01.07.2020","Расход","Сбербанк","Развлечения","","1200","RUB","1200","RUB","Нет","Wakeboard (на тинькофф комиссия 30?)"
"01.07.2020","Расход","Сбербанк","Мобильный","","600","RUB","600","RUB","Нет",""
"01.07.2020","Расход","Сбербанк","Charity","","100","RUB","100","RUB","Нет",""
"02.07.2020","Расход","Райффайзен","Транспорт","Такси","156","RUB","156","RUB","Нет",""
"02.07.2020","Расход","Сбербанк","Медицина","","190","RUB","190","RUB","Нет","Шприцы и зеленка (для бородавок)"
"02.07.2020","Расход","Райффайзен","Транспорт","Такси","148","RUB","148","RUB","Нет",""
"02.07.2020","Расход","Сбербанк","Продукты","","1400","RUB","1400","RUB","Нет","Перевод Асе за продукты"
"03.07.2020","Перевод","ФТИ","Сбербанк","","33362","RUB","33362","RUB","Нет",""
"03.07.2020","Расход","Сбербанк","Развлечения","","800","RUB","800","RUB","Нет","Бронь мангала в Коккорево"
"03.07.2020","Расход","Сбербанк","Музыка","Головин","9000","RUB","9000","RUB","Нет",""
"03.07.2020","Расход","Сбербанк","Дом","Леруа","591","RUB","591","RUB","Нет",""
"03.07.2020","Перевод","ALM","Сбербанк","","16653,26","RUB","16653,26","RUB","Нет","Отпускные"
"04.07.2020","Расход","Сбербанк","Вещи","","800","RUB","800","RUB","Нет","Ремонт джинсовых шорт и смена липучек на шортах fishbone"
"04.07.2020","Расход","Райффайзен","Транспорт","Такси","101","RUB","101","RUB","Нет",""
"04.07.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"04.07.2020","Расход","Райффайзен","Транспорт","Такси","128","RUB","128","RUB","Нет",""
"04.07.2020","Расход","Сбербанк","Продукты","","5129,42","RUB","5129,42","RUB","Нет","Включая мясо на шашлыки (~1800?)"
"04.07.2020","Расход","Райффайзен","Charity","","300","RUB","300","RUB","Нет",""
"04.07.2020","Расход","Райффайзен","Транспорт","Такси","129","RUB","129","RUB","Нет",""
"04.07.2020","Перевод","Сбербанк","Сбербанк Deposit","","20000","RUB","20000","RUB","Нет",""
"06.07.2020","Расход","Cash","Еда","","70","RUB","70","RUB","Нет","Капучино на шашлыках"
"07.07.2020","Расход","Райффайзен","Charity","","100","RUB","100","RUB","Нет",""
"07.07.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","2804,71","RUB","2804,71","RUB","Нет",""
"07.07.2020","Расход","Райффайзен","Транспорт","Такси","111","RUB","111","RUB","Нет",""
"07.07.2020","Расход","Сбербанк","Еда","","858","RUB","858","RUB","Нет","Макдак перед Крондштатом"
"07.07.2020","Расход","Райффайзен","Комиссии (black hole)","","60","RUB","60","RUB","Нет","За смс банк (Райффайзен)"
"10.07.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"10.07.2020","Расход","Сбербанк","Развлечения","","1500","RUB","1500","RUB","Нет","Wakeboard (чуть больше) через Тинькофф "
"11.07.2020","Перевод","ALM","Сбербанк","","93957,82","RUB","93957,82","RUB","Нет","С учетом отпускных (отпускные за один day off пришли ранее в июне ~8тр)"
"11.07.2020","Перевод","Сбербанк","Сбербанк Deposit","","93957,82","RUB","93957,82","RUB","Нет",""
"11.07.2020","Расход","Сбербанк","Квартплата/Интернет","ЖКУ","6698,51","RUB","6698,51","RUB","Нет",""
"11.07.2020","Перевод","Райффайзен","Тинькофф","","2161,5","RUB","2161,5","RUB","Нет",""
"11.07.2020","Перевод","Сбербанк Deposit","Тинькофф Депозит 6 мес (main)","","50000","RUB","50000","RUB","Нет",""
"11.07.2020","Перевод","Сбербанк Deposit","Тинькофф","","10000","RUB","10000","RUB","Нет",""
"11.07.2020","Расход","Тинькофф","Транспорт","Такси","177","RUB","177","RUB","Нет",""
"11.07.2020","Расход","Тинькофф","Транспорт","Такси","173","RUB","173","RUB","Нет",""
"11.07.2020","Расход","Тинькофф","Продукты","","382,7","RUB","382,7","RUB","Нет","Призма "
"11.07.2020","Расход","Тинькофф","Продукты","","3457,44","RUB","3457,44","RUB","Нет",""
"12.07.2020","Перевод","Сбербанк","Cash","","1900","RUB","1900","RUB","Нет",""
"12.07.2020","Перевод","Сбербанк","Тинькофф","","9800,53","RUB","9800,53","RUB","Нет",""
"12.07.2020","Расход","Тинькофф","Charity","","500","RUB","500","RUB","Нет",""
"12.07.2020","Расход","Тинькофф","Продукты","","1782,2","RUB","1782,2","RUB","Нет",""
"14.07.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
