Дата,Расход,Доход,Перевод,Траты по категориям
Июнь 2020,7446.5,67500.0,65000.0,"{Комиссии (black hole)=0, Дом=0, Продукты=1991.0, Квартплата/Интернет=0, Еда=1530.0, Путешествия=0, Транспорт=2133.0, Мобильный=0, Mining=0, Charity=300.0, Cryptocurrency=0, Другое=292.5, Спорт=0, Кино/театр=0, Вещи=0, Музыка=0, Развлечения=1200.0, Медицина=0}"
Июль 2020,87269.43,208173.79,254715.85,"{Комиссии (black hole)=135.0, Дом=591.0, Продукты=18738.81, Квартплата/Интернет=7338.51, Еда=2305.0, Путешествия=0, Транспорт=4675.0, Мобильный=600.0, Mining=0, Charity=1000.0, Cryptocurrency=0, Другое=0, Спорт=0, Кино/театр=0, Вещи=2300.0, Музыка=9000.0, Развлечения=6100.0, Медицина=32209.8}"
Август 2020,59776.18,435646.02,362625.30,"{Комиссии (black hole)=0, Дом=0, Продукты=9257.88, Квартплата/Интернет=6167.6, Еда=1977.0, Путешествия=33060.57, Транспорт=3612.0, Мобильный=0, Mining=0, Charity=700.0, Cryptocurrency=0, Другое=4111.13, Спорт=0, Кино/театр=0, Вещи=0, Музыка=0, Развлечения=890.0, Медицина=0}"
Сентябрь 2020,94207.39,136778.20,576627.83,"{Комиссии (black hole)=0, Дом=37316.86, Продукты=15885.09, Квартплата/Интернет=7269.42, Еда=9215.99, Путешествия=0, Транспорт=2633.0, Мобильный=0, Mining=0, Charity=200.0, Cryptocurrency=0, Другое=3752.53, Спорт=300.0, Кино/театр=0, Вещи=0, Музыка=9000.0, Развлечения=5429.0, Медицина=3205.5}"
Октябрь 2020,174886.46,231562.92,157539.65,"{Комиссии (black hole)=16553.00, Дом=0, Продукты=27212.73, Квартплата/Интернет=8498.93, Еда=6002.0, Путешествия=0, Транспорт=5222.0, Мобильный=0, Mining=0, Charity=1009.81, Cryptocurrency=0, Другое=23689.0, Спорт=0, Кино/театр=0, Вещи=7889.0, Музыка=69100.0, Развлечения=3300.0, Медицина=6409.99}"
Ноябрь 2020,103738.06,320841.40,0,"{Комиссии (black hole)=0, Дом=3414.7, Продукты=20383.19, Квартплата/Интернет=9729.54, Еда=6666.43, Путешествия=0, Транспорт=3992.0, Мобильный=0, Mining=0, Charity=3200.0, Cryptocurrency=0, Другое=19499.0, Спорт=0, Кино/театр=0, Вещи=0, Музыка=24239.7, Развлечения=1006.0, Медицина=11607.5}"
Декабрь 2020,98195.79,398572.21,62185.93,"{Комиссии (black hole)=0, Дом=3600.0, Продукты=22013.83, Квартплата/Интернет=7873.21, Еда=6418.0, Путешествия=27315.0, Транспорт=5460.0, Мобильный=0, Mining=0, Charity=780.0, Cryptocurrency=0, Другое=22746.75, Спорт=0, Кино/театр=0, Вещи=550.0, Музыка=280.0, Развлечения=0, Медицина=1159.0}"
Январь 2021,156448.85,84755.88,301201.98,"{Комиссии (black hole)=0, Дом=3334.0, Продукты=9870.88, Квартплата/Интернет=1290.0, Еда=4633.0, Путешествия=25374.57, Транспорт=3456.0, Мобильный=0, Mining=0, Charity=550.0, Cryptocurrency=0, Другое=4244.9, Спорт=0, Кино/театр=0, Вещи=19991.0, Музыка=60710.0, Развлечения=21780.0, Медицина=1214.5}"
Февраль 2021,100889.78,414354.99,1181133.60,"{Комиссии (black hole)=13012.59, Дом=0, Продукты=13744.31, Квартплата/Интернет=16860.89, Еда=5863.0, Путешествия=0, Транспорт=3459.0, Мобильный=0, Mining=0, Charity=1000.0, Cryptocurrency=0, Другое=3095.0, Спорт=0, Кино/театр=0, Вещи=448.0, Музыка=35000.0, Развлечения=6896.99, Медицина=1510.0}"
Март 2021,288909.30,327928.93,156600.39,"{Комиссии (black hole)=82.5, Дом=554.0, Продукты=5681.14, Квартплата/Интернет=1130.0, Еда=6410.0, Путешествия=83257.27, Транспорт=1962.0, Мобильный=0, Mining=163098.0, Charity=2200.0, Cryptocurrency=0, Другое=9794.0, Спорт=1983.0, Кино/театр=0, Вещи=693.0, Музыка=1877.5, Развлечения=8864.99, Медицина=1321.9}"
